-77.081462,38.188649
-77.207278,38.174979
-77.215439,38.167058
-77.228062,38.160676
-77.232901,38.153884
-77.170216,38.260033
-77.171026,38.301754
-77.158121,38.296226
-77.148142,38.304547
-77.170946,38.352411
-77.115089,38.325820
-77.227538,38.403940
-77.221035,38.393044
-77.188138,38.385270
-77.563709,38.385554
-77.555958,38.379651
-77.541504,38.378658
-77.527936,38.391055
-76.975466,38.418248
-76.995201,38.398002
-77.020235,38.371715
-76.906437,38.350720
-77.109220,38.359178
-77.228197,38.340711
-77.217183,38.323414
-77.191102,38.352884
-77.207319,38.311569
-77.202175,38.299735
-77.185396,38.451461
-77.194981,38.341536
-77.068123,38.103684
-76.998186,38.163327
-76.942245,38.144915
-77.214462,38.042634
-77.957123,38.322148
-77.794108,38.231696
-77.674068,38.313230
-77.578494,38.385457
-77.716692,38.495972
-77.232176,38.421021
-76.999846,38.236072
-76.907512,38.243233
-77.220824,38.442612
-77.215372,38.500407
-77.207466,38.586945
-77.205109,38.606662
-77.283944,38.401919
-77.195586,38.289226
-77.208706,38.310790
-77.199517,38.336219
-77.400839,38.493055
-77.387432,38.467815
-77.361317,38.449187
-77.352677,38.436360
-77.343470,38.413530
-77.336222,38.267151
-77.334214,38.169598
-77.194125,38.314799
-77.315882,38.284756
-77.326972,38.277900
-77.296598,38.272741
-77.073629,38.285378
-77.157118,38.297983
-77.199516,38.309014
-77.188227,38.356210
-77.227631,38.288701
-77.400553,38.271265
-77.116410,38.170010
-76.999824,38.184772
-76.898678,38.168172
-77.430728,38.227557
-77.583733,38.215144
-77.249328,38.303132
-77.182173,38.119219
-77.208516,38.290843
-77.552960,38.152509
-77.580680,38.152557
