43.7941,-79.5275
43.7833,-79.5230
43.7769,-79.5091
43.7741,-79.4997
43.7647,-79.4913
43.7536,-79.4786
43.7491,-79.4622
43.7344,-79.45
43.7247,-79.4475
43.7152,-79.4438
43.7086,-79.4405
43.6993,-79.4359
43.685,-79.4158
43.6745,-79.4068
43.6686,-79.4047
43.6683,-79.3988
43.6669,-79.3933
43.6597,-79.3902
43.6547,-79.3883
43.6508,-79.3866
43.6477,-79.385
43.6455,-79.3802
43.6488,-79.3777
43.6527,-79.3794
43.6566,-79.3811
43.6605,-79.3827
43.6655,-79.3838
43.6708,-79.3855
43.6763,-79.3886
43.6816,-79.3905
43.6880,-79.3936
43.6980,-79.3972
43.7061,-79.3985
43.7263,-79.4025
43.744,-79.4067
43.7615,-79.4109
43.7687,-79.4126
43.7813,-79.4159
43.6375,-79.5355
43.6452,-79.5247
43.6480,-79.5113
43.6497,-79.4944
43.65,-79.4838
43.6516,-79.4761
43.6538,-79.4669
43.6555,-79.4594
43.6569,-79.4530
43.6591,-79.4427
43.6606,-79.4355
43.6625,-79.4261
43.6641,-79.4183
43.6668,-79.4115
43.6671,-79.4034
43.6702,-79.3902
43.6726,-79.3767
43.6736,-79.3691
43.6769,-79.3583
43.6783,-79.3525
43.68,-79.345
43.6811,-79.3377
43.6825,-79.3302
43.6841,-79.3230
43.6863,-79.3125
43.6891,-79.3016
43.695,-79.2888
43.7111,-79.2791
43.7325,-79.2638
43.7668,-79.3874
43.7691,-79.3766
43.7711,-79.3656
43.7753,-79.3459
